bloque,color,flor,uso
G-21,BICOLOR_BURGUNDY,CLAVEL,0
G-22,BICOLOR_BURGUNDY,CLAVEL,0
G-23,BICOLOR_BURGUNDY,CLAVEL,0
G-24,BICOLOR_BURGUNDY,CLAVEL,0
G-25,BICOLOR_BURGUNDY,CLAVEL,0
G-27,BICOLOR_BURGUNDY,CLAVEL,0
G-28,BICOLOR_BURGUNDY,CLAVEL,0
G-30,BICOLOR_BURGUNDY,CLAVEL,0
G-01,BICOLOR_MORADO,CLAVEL,0
G-02,BICOLOR_MORADO,CLAVEL,0
G-03,BICOLOR_MORADO,CLAVEL,0
G-04,BICOLOR_MORADO,CLAVEL,0
G-07,BICOLOR_MORADO,CLAVEL,0
G-09,BICOLOR_MORADO,CLAVEL,0
G-10,BICOLOR_MORADO,CLAVEL,0
G-11,BICOLOR_MORADO,CLAVEL,0
G-13,BICOLOR_MORADO,CLAVEL,1
G-14,BICOLOR_MORADO,CLAVEL,1
G-15,BICOLOR_MORADO,CLAVEL,0
G-16,BICOLOR_MORADO,CLAVEL,0
G-17,BICOLOR_MORADO,CLAVEL,0
G-18,BICOLOR_MORADO,CLAVEL,0
G-19,BICOLOR_MORADO,CLAVEL,0
G-20,BICOLOR_MORADO,CLAVEL,0
G-21,BICOLOR_MORADO,CLAVEL,0
G-22,BICOLOR_MORADO,CLAVEL,0
G-23,BICOLOR_MORADO,CLAVEL,0
G-24,BICOLOR_MORADO,CLAVEL,0
G-25,BICOLOR_MORADO,CLAVEL,0
G-27,BICOLOR_MORADO,CLAVEL,0
G-28,BICOLOR_MORADO,CLAVEL,0
G-30,BICOLOR_MORADO,CLAVEL,0
G-01,BICOLOR_ROJO,CLAVEL,0
G-02,BICOLOR_ROJO,CLAVEL,0
G-03,BICOLOR_ROJO,CLAVEL,0
G-04,BICOLOR_ROJO,CLAVEL,0
G-07,BICOLOR_ROJO,CLAVEL,0
G-09,BICOLOR_ROJO,CLAVEL,0
G-10,BICOLOR_ROJO,CLAVEL,0
G-11,BICOLOR_ROJO,CLAVEL,0
G-13,BICOLOR_ROJO,CLAVEL,1
G-14,BICOLOR_ROJO,CLAVEL,1
G-15,BICOLOR_ROJO,CLAVEL,0
G-16,BICOLOR_ROJO,CLAVEL,0
G-17,BICOLOR_ROJO,CLAVEL,0
G-18,BICOLOR_ROJO,CLAVEL,0
G-19,BICOLOR_ROJO,CLAVEL,0
G-20,BICOLOR_ROJO,CLAVEL,0
G-21,BICOLOR_ROJO,CLAVEL,0
G-22,BICOLOR_ROJO,CLAVEL,0
G-23,BICOLOR_ROJO,CLAVEL,0
G-24,BICOLOR_ROJO,CLAVEL,0
G-25,BICOLOR_ROJO,CLAVEL,0
G-27,BICOLOR_ROJO,CLAVEL,0
G-28,BICOLOR_ROJO,CLAVEL,0
G-30,BICOLOR_ROJO,CLAVEL,0
G-01,BICOLOR_ROSADO,CLAVEL,0
