variety_name,week_number,cost,production,farm_name,cut
MADELON,6,0,0,LA GAITANA,
MEGAN,6,0,0,LA GAITANA,
MELODIA,6,0,0,LA GAITANA,
MIZUKI,6,0,0,LA GAITANA,
MONTOYA,6,0,0,LA GAITANA,
PELAYO,6,0,0,LA GAITANA,
POLIMNIA,6,0,0,LA GAITANA,
SOLEX,6,0,0,LA GAITANA,
SUMATRA,6,0,0,LA GAITANA,
TENDERLY,6,0,0,LA GAITANA,
VORAGINE,6,0,0,LA GAITANA,
WALKER,6,0,0,LA GAITANA,
ZAPOTE,6,0,0,LA GAITANA,
ZURIGO,6,0,0,LA GAITANA,
ALI_BABA,7,0,0,LA GAITANA,
AMOROSA,7,0,0,LA GAITANA,
ANTIGUA,7,0,0,LA GAITANA,
ARMONIA,7,0,0,LA GAITANA,
BIZET,7,0,0,LA GAITANA,
CAROLINE_GOLD,7,0,0,LA GAITANA,
CHELO,7,0,0,LA GAITANA,
DILETTA,7,0,0,LA GAITANA,
DONCEL,7,0,0,LA GAITANA,
FARIDA,7,0,0,LA GAITANA,
EXTASIS,7,0,0,LA GAITANA,
FUENTE,7,0,0,LA GAITANA,
GRANSOLE,7,0,0,LA GAITANA,
IKEBANA,7,0,0,LA GAITANA,
ILUSION,7,0,0,LA GAITANA,
JOBIM,7,0,0,LA GAITANA,
NAUTILUS,7,0,0,LA GAITANA,
NEON,7,0,0,LA GAITANA,
LEGE_MARRONE,7,0,0,LA GAITANA,
MOONLIGHT,7,0,0,LA GAITANA,
NEW_YORK,7,0,0,LA GAITANA,
NOVIA,7,0,0,LA GAITANA,
RANDAL,7,0,0,LA GAITANA,
RODAS,7,0,0,LA GAITANA,
HAWAI,7,0,0,LA GAITANA,
SORRISO,7,0,0,LA GAITANA,
TINGUA,7,0,0,LA GAITANA,
ZAFIRO,7,0,0,LA GAITANA,
ZENIT,7,0,0,LA GAITANA,
HERMES,7,0,0,LA GAITANA,
ZEPPELIN,7,0,0,LA GAITANA,
KINO,7,0,0,LA GAITANA,
VELVET,7,0,0,LA GAITANA,
TANGELO,7,0,0,LA GAITANA,
ORANGE_FLAME,7,0,0,LA GAITANA,
TRUENO,7,0,0,LA GAITANA,
AMBROSE,7,0,0,LA GAITANA,
ANDINO,7,0,0,LA GAITANA,
BOUZERON,7,0,0,LA GAITANA,
CAPRICHO,7,0,0,LA GAITANA,
CAROCHE,7,0,0,LA GAITANA,
CAROLINE,7,0,0,LA GAITANA,
DANDY,7,0,0,LA GAITANA,
DANIKO,7,0,0,LA GAITANA,
DILETTA_CREMA,7,0,0,LA GAITANA,
DON_PEDRO,7,0,0,LA GAITANA,
FAITH,7,0,0,LA GAITANA,
FARIETA,7,0,0,LA GAITANA,
FAUSTO,7,0,0,LA GAITANA,
FREDY,7,0,0,LA GAITANA,
GLADYS,7,0,0,LA GAITANA,
GOBI,7,0,0,LA GAITANA,
GOBLIN,7,0,0,LA GAITANA,
GOLEM,7,0,0,LA GAITANA,
HELIOS,7,0,0,LA GAITANA,
ISOLA,7,0,0,LA GAITANA,
KINO_SPORT,7,0,0,LA GAITANA,
KOMACHI,7,0,0,LA GAITANA,
LIGHT_STAR,7,0,0,LA GAITANA,
LIZZY,7,0,0,LA GAITANA,
MADELON,7,0,0,LA GAITANA,
MEGAN,7,0,0,LA GAITANA,
MELODIA,7,0,0,LA GAITANA,
MIZUKI,7,0,0,LA GAITANA,
MONTOYA,7,0,0,LA GAITANA,
PELAYO,7,0,0,LA GAITANA,
POLIMNIA,7,0,0,LA GAITANA,
